Id; QuestionText; AnswerChoice; CategoryId
bacd895e-8ccd-4328-80a7-75f07a78b521; "Quel outil CSS est utilisé pour créer des grilles flexibles dans un design responsive ?"; "['CSS Grid', 'Bootstrap', 'Table HTML']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
504952c4-93fd-4ef9-9e76-165ecd7fcae1; "Quel outil peut être utilisé pour analyser les performances d'un site web ?"; "['Google Lighthouse', 'Figma', 'Postman', 'Webpack']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
f888900c-c87f-4a1a-a2e7-2e829eb1d20e; "Quelle est la méthode pour convertir une chaîne de caractères JSON en objet JavaScript ?"; "['JSON.parse()', 'JSON.stringify()', 'JSON.convert()', 'JSON.toObject()']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
d6c7efc2-8103-4768-b9b5-05aa3821310e; "Quel outil permet de gérer les dépendances dans un projet JavaScript ?"; "['npm', 'Yarn', 'Bower', 'Webpack']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
1c926fde-8110-4300-81b5-cf56c7560b70; "Quel est l'avantage principal d'utiliser un CDN pour héberger des ressources ?"; "['Réduction de la latence', 'Augmentation du stockage', 'Compression automatique', 'Sécurité accrue']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
dcbde178-0065-4ef0-aa71-c406672761a2; "Quel outil est couramment utilisé pour simuler des API REST lors du développement ?"; "['Postman', 'Swagger', 'Insomnia', 'SoapUI']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
b70f6d77-e869-4798-8ceb-65b39b38ce8f; "Quelle fonctionnalité permet d'évaluer la compatibilité d'un site web sur différents navigateurs ?"; "['BrowserStack', 'CanIUse', 'Sauce Labs', 'Google Analytics']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
8a037837-d998-46c6-92d6-1960f2d1d477; "Quel outil JavaScript permet de manipuler le DOM de manière plus simple ?"; "['jQuery', 'React', 'Vue.js', 'Svelte']"; 7c4ff564-c127-4c4a-b74e-d2aac7cbf721
a118f02f-3736-4ef1-9934-e2fbb9247202; "Quelle méthode peut être utilisée pour vérifier si une variable est un tableau en JavaScript ?"; "['Array.isArray()', 'typeof', 'instanceof', 'isArray()']"; 7c4ff564-c127-4c4a-b74e-d2aac7cbf721
b91d0f88-6bd2-4ea1-9d9e-2c76823f8c9f; "Quel framework est basé sur JavaScript et souvent utilisé pour le développement front-end ?"; "['React', 'Laravel', 'Django', 'Spring Boot']"; 7c4ff564-c127-4c4a-b74e-d2aac7cbf721
c3e0a4bd-fc60-4b5a-82db-d5a1d7696e36; "Quel est le format de fichier utilisé pour stocker les dépendances de npm ?"; "['package.json', 'package-lock.json', 'npm.json', 'dependencies.json']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
df54b367-0b64-470d-a57e-b63e3c3037b7; "Quelle balise HTML est utilisée pour inclure un fichier CSS externe ?"; "['<link>', '<style>', '<css>', '<stylesheet>']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
2a3f8f45-df8d-4a7a-b9e3-ef6d4e3d4b5a; "Quel langage est principalement utilisé pour styliser des pages web ?"; "['CSS', 'JavaScript', 'HTML', 'Python']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
3b6e2d99-8f1c-4a6d-bf30-cbaef67e64a4; "Quel protocole est utilisé pour sécuriser les communications sur Internet ?"; "['HTTPS', 'HTTP', 'FTP', 'SSH']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
4d8f3c0e-5d2f-4a59-9f13-d95e5d6d4143; "Quel outil permet de gérer les versions de code source ?"; "['Git', 'SVN', 'Mercurial', 'Bitbucket']"; b7bbbb5a-db1a-401a-b69f-f62e20e03dc7
5e9f4d01-6a8d-4f99-9cf1-b1a6b67d5e35; "Quelle est la principale fonction de HTML ?"; "['Structurer le contenu', 'Styliser le contenu', 'Rendre interactif', 'Stocker les données']"; f7cdfa3b-d594-4b5f-b1e5-edf3a08b2141
6f0a5e12-0a9d-4d1d-8ea3-1b2f0e3a6b7a; "Quel concept est utilisé en programmation pour réutiliser du code ?"; "['Modularité', 'Abstraction', 'Encapsulation', 'Héritage']"; 7c4ff564-c127-4c4a-b74e-d2aac7cbf721
7f1a6f34-2b8e-4e2d-9c32-4f1d5b9e8a23; "Quel est l'avantage principal des frameworks front-end comme Angular ou React ?"; "['Composants réutilisables', 'Exécution rapide', 'Sécurité', 'Gestion des bases de données']"; 7c4ff564-c127-4c4a-b74e-d2aac7cbf721
