Id, QuestionId, CorrectAnswer
1d455d4f-db81-4d71-883e-b363b1f77021, bacd895e-8ccd-4328-80a7-75f07a78b521, CSS Grid
289c51c2-8fc3-47ce-8d3a-af7cae83e7a9, 504952c4-93fd-4ef9-9e76-165ecd7fcae1, Google Lighthouse
b9058322-dbf4-4518-ad4b-1e2bf1712c37, f888900c-c87f-4a1a-a2e7-2e829eb1d20e, JSON.parse()
da3f1082-c172-4fe8-9d53-9eaa53abfce1, d6c7efc2-8103-4768-b9b5-05aa3821310e, npm
55fd8533-b592-482a-b2cd-f99a1c7c9899, 1c926fde-8110-4300-81b5-cf56c7560b70, Réduction de la latence
6158ccd2-babc-4cc3-8d96-3de155a0ab1a, dcbde178-0065-4ef0-aa71-c406672761a2, Postman
93c349bd-834d-4123-9a64-b73faae47235, b70f6d77-e869-4798-8ceb-65b39b38ce8f, BrowserStack
6d0aa903-5abf-483a-81e8-7408ab9a4194, 8a037837-d998-46c6-92d6-1960f2d1d477, jQuery
226de45b-a14e-4ed2-bfa5-ac83a13a3bd5, a118f02f-3736-4ef1-9934-e2fbb9247202, Array.isArray()
d3f6b9d2-56b4-42a3-a2f3-229e7f81b76a, b91d0f88-6bd2-4ea1-9d9e-2c76823f8c9f, React
f99ea7f6-0cc4-4fa5-8225-4c61b04804c3, c3e0a4bd-fc60-4b5a-82db-d5a1d7696e36, package.json
c02d74c9-42f2-4b27-9cb1-3f292981f5a7, df54b367-0b64-470d-a57e-b63e3c3037b7, <link>
4ef3b0d5-68ad-4c3a-b45a-14db1db02a9e, 2a3f8f45-df8d-4a7a-b9e3-ef6d4e3d4b5a, CSS
7d9e24f8-226f-4bc4-8ef8-9a9cb3a7a6d7, 3b6e2d99-8f1c-4a6d-bf30-cbaef67e64a4, HTTPS
1a42f4e8-d2a3-4c7a-9b43-4d9f52a3b6e1, 4d8f3c0e-5d2f-4a59-9f13-d95e5d6d4143, Git
be92f8d3-62a4-4cb3-9b7e-7a1d4b5c8e2f, 5e9f4d01-6a8d-4f99-9cf1-b1a6b67d5e35, Structurer le contenu
3f12a6c7-8d2b-4c8e-8f5a-6d4b7c2e9a8f, 6f0a5e12-0a9d-4d1d-8ea3-1b2f0e3a6b7a, Modularité
8e4a2f3c-7d2b-4c1a-8d6e-5b3a7e9f4d2a, 7f1a6f34-2b8e-4e2d-9c32-4f1d5b9e8a23, Composants réutilisables
